Feature	Importance
TPM	0.2915217984032833
Length	0.2490364094656871
Distance_from_gene_start	0.1949819350144234
GC_content	0.16591483067038204
FivePrimeContext_3_A	0.02801561413474752
FivePrimeContext_12_T	0.02629079738950772
FivePrimeContext_10_T	0.023398021353826258
Frame_disruption	0.020840593568142673
